NOME	REGIME	ANO	NÚMERO	CURSO
Erick Barros	normal	1	5378	EE
Alexandre Araujo	normal	3	3506	EM
Ana Beatriz Silva	normal	2	3248	CONT
Alana Sales	normal	3	3620	GI
Emanuella Pires	normal	2	3505	EC
Carolina Viana	normal	3	5056	TDMO
Nicolas da Rosa	normal	2	3170	EI
Lais Lima	normal	1	5178	CONT
Lara Souza	normal	1	4132	TDMO
Sabrina Souza	normal	2	4348	TDM
Ana Clara Costa	normal	1	5843	MKT
Elisa Silva	normal	2	5978	EC
Ana Julia Caldeira	normal	1	4430	TUR
Caua Cardoso	normal	3	4344	CONT
Julia Barbosa	normal	3	5691	GI
Ana Julia Santos	normal	3	4137	CONT
Yasmin das Neves	normal	3	4225	GE
Marcelo Carvalho	normal	1	3885	CONT
Caroline Fogaca	normal	2	4975	GI
Gabrielly da Luz	normal	3	3683	GI
Luiz Gustavo Dias	normal	2	4336	EC
Melissa da Rocha	normal	2	5427	GI
Maria Alice Jesus	normal	1	4016	EE
Thales Aragao	normal	1	4483	TDMO
Leandro Ribeiro	normal	1	3353	TDM
Helena da Mata	normal	3	3107	TUR
Bernardo Barbosa	normal	1	3561	MKT
Andre Almeida	normal	2	5756	EM
Eloah Alves	normal	3	3794	EI
Lucca Martins	normal	2	4304	GI
Fernanda Lima	normal	2	4839	EI
Ana Sophia Gomes	normal	2	4813	EC
Breno Melo	normal	2	3263	EA
Ana Julia Cunha	normal	2	4190	TDMO
Noah da Luz	normal	3	4409	EA
Pedro Henrique Novaes	normal	2	3600	EI
Catarina Rezende	normal	3	3446	TUR
Joao Lucas da Cunha	normal	1	3341	EM
Alexandre Rocha	normal	3	3201	EM
Pedro Henrique Lima	normal	1	3975	EM
Davi Lucas Castro	normal	2	3936	CONT
Emanuelly da Cruz	normal	1	4119	EA
Helena Lopes	normal	1	5406	MKT
Alana Correia	normal	3	5568	TDMO
Lorena Cardoso	normal	3	5053	TUR
Luiz Otavio Castro	normal	2	5377	MKT
Davi Lucas da Mata	normal	1	5795	GI
Joao Teixeira	normal	3	5163	EA
Kamilly Duarte	normal	3	3372	GI
Emanuella Barbosa	normal	1	3048	MKT
Maysa Ferreira	normal	1	5160	TDM
Maria Fernanda da Costa	normal	1	5267	MKT
Alicia Freitas	normal	2	3048	EI
Luana Farias	normal	3	3663	CONT
Rafael Correia	normal	2	5887	EA
Manuela da Luz	normal	1	4309	EA
Caue Farias	normal	1	4597	TDM
Joao Lucas Peixoto	normal	2	4363	TDM
Joao Freitas	normal	2	4634	EC
Lara Melo	normal	3	4588	TDMO
Renan Peixoto	normal	2	3007	EA
Raquel Azevedo	normal	2	4512	TDM
Marcela Rodrigues	normal	2	4664	TUR
Joao Guilherme Fernandes	normal	2	5018	EC
Marcos Vinicius Azevedo	normal	1	5252	TDM
Cecilia da Cruz	normal	3	3791	MKT
Luna Silveira	normal	1	3457	EE
Fernanda Pinto	normal	3	4109	EE
Vitor Hugo Oliveira	normal	2	3478	CONT
Joana Rezende	normal	1	5883	EE
Ana Clara Mendes	normal	2	4847	CONT
Mariana Costela	normal	1	5436	EM
Eloah Alves	normal	1	4172	TDM
Julia da Mota	normal	2	3747	EA
Natalia Viana	normal	1	3446	TDM
Marcela Carvalho	normal	2	3030	TDMO
Anthony Pires	normal	2	4161	EI
Leandro Novaes	normal	1	5655	EA
Kevin Nascimento	normal	1	4870	CONT
Pedro Henrique da Paz	normal	1	3070	MKT
Gabriel Costela	normal	3	4524	GE
Davi Lucca Dias	normal	2	3167	GI
Amanda Goncalves	normal	1	4716	EE
Emanuel Barros	normal	1	5576	EC
Anthony Alves	normal	1	5021	EC
Gabrielly Mendes	normal	1	3816	EC
Marcelo da Luz	normal	1	3670	GI
Ana Julia Nogueira	normal	2	5292	MKT
Maria Fernanda das Neves	normal	1	5171	EM
Maria Fernanda Rezende	normal	3	4597	EE
Gustavo Henrique da Mota	normal	3	4671	EC
Luna Moreira	normal	2	4849	GE
Daniel das Neves	normal	1	3994	EI
Yasmin da Cruz	normal	1	4511	EI
Joao Gabriel Dias	trabalhador-estudante	1	5851	EC
Ana Julia Porto	trabalhador-estudante	1	4640	TDM
Sarah Cardoso	trabalhador-estudante	1	5689	TDMO
Isabel Costa	trabalhador-estudante	1	3868	CONT
Bianca Duarte	trabalhador-estudante	3	5382	EC
Joao Vitor Costela	trabalhador-estudante	3	4650	EI
Julia Almeida	trabalhador-estudante	1	5749	CONT
Pedro Lucas Araujo	trabalhador-estudante	3	4075	CONT
Francisco da Cruz	trabalhador-estudante	1	5002	MKT
Nathan Peixoto	trabalhador-estudante	1	3730	EI
Maria Alice Caldeira	trabalhador-estudante	3	3917	TUR
Alexandre da Cruz	trabalhador-estudante	3	3296	EA
Vicente Gomes	trabalhador-estudante	1	3269	TDM
Julia Fernandes	trabalhador-estudante	3	5497	EE
Gabriela Almeida	trabalhador-estudante	2	5555	TUR
Ana Julia Nogueira	trabalhador-estudante	3	4766	EM
Valentina Moraes	trabalhador-estudante	2	5487	GI
Luiz Otavio Moreira	trabalhador-estudante	1	5104	EI
